Team,Phase of Play,Action,Quarter,x,y,Count
away ,attack,pass received,3,3,1,2
away ,attack,pass received,3,4,1,2
away ,attack,pass received,3,5,1,3
away ,attack,pass received,4,1,4,0
away ,attack,pass received,4,2,4,0
away ,attack,pass received,4,3,4,0
away ,attack,pass received,4,4,4,0
away ,attack,pass received,4,5,4,0
away ,attack,pass received,4,1,3,2
away ,attack,pass received,4,2,3,0
away ,attack,pass received,4,3,3,1
away ,attack,pass received,4,4,3,1
away ,attack,pass received,4,5,3,0
away ,attack,pass received,4,1,2,3
away ,attack,pass received,4,2,2,2
away ,attack,pass received,4,3,2,0
away ,attack,pass received,4,4,2,3
away ,attack,pass received,4,5,2,2
away ,attack,pass received,4,1,1,1
away ,attack,pass received,4,2,1,1
away ,attack,pass received,4,3,1,2
away ,attack,pass received,4,4,1,2
away ,attack,pass received,4,5,1,7
away ,defensive transition,pass missed,1,1,4,0
away ,defensive transition,pass missed,1,2,4,0
away ,defensive transition,pass missed,1,3,4,0
away ,defensive transition,pass missed,1,4,4,0
away ,defensive transition,pass missed,1,5,4,0
away ,defensive transition,pass missed,1,1,3,0
away ,defensive transition,pass missed,1,2,3,0
away ,defensive transition,pass missed,1,3,3,0
away ,defensive transition,pass missed,1,4,3,1
away ,defensive transition,pass missed,1,5,3,0
away ,defensive transition,pass missed,1,1,2,0
away ,defensive transition,pass missed,1,2,2,0
away ,defensive transition,pass missed,1,3,2,0
away ,defensive transition,pass missed,1,4,2,0
away ,defensive transition,pass missed,1,5,2,1
away ,defensive transition,pass missed,1,1,1,0
away ,defensive transition,pass missed,1,2,1,1
away ,defensive transition,pass missed,1,3,1,0
away ,defensive transition,pass missed,1,4,1,1
away ,defensive transition,pass missed,1,5,1,3
away ,defensive transition,pass missed,2,1,4,0
away ,defensive transition,pass missed,2,2,4,0
away ,defensive transition,pass missed,2,3,4,0
away ,defensive transition,pass missed,2,4,4,0
away ,defensive transition,pass missed,2,5,4,0
away ,defensive transition,pass missed,2,1,3,0
away ,defensive transition,pass missed,2,2,3,1
away ,defensive transition,pass missed,2,3,3,0
away ,defensive transition,pass missed,2,4,3,0
away ,defensive transition,pass missed,2,5,3,2
away ,defensive transition,pass missed,2,1,2,1
away ,defensive transition,pass missed,2,2,2,1
away ,defensive transition,pass missed,2,3,2,0
away ,defensive transition,pass missed,2,4,2,0
away ,defensive transition,pass missed,2,5,2,0
away ,defensive transition,pass missed,2,1,1,0
away ,defensive transition,pass missed,2,2,1,1
away ,defensive transition,pass missed,2,3,1,1
away ,defensive transition,pass missed,2,4,1,0
away ,defensive transition,pass missed,2,5,1,0
away ,defensive transition,pass missed,3,1,4,0
away ,defensive transition,pass missed,3,2,4,1
away ,defensive transition,pass missed,3,3,4,1
away ,defensive transition,pass missed,3,4,4,0
away ,defensive transition,pass missed,3,5,4,0
away ,defensive transition,pass missed,3,1,3,0
away ,defensive transition,pass missed,3,2,3,0
away ,defensive transition,pass missed,3,3,3,0
away ,defensive transition,pass missed,3,4,3,0
away ,defensive transition,pass missed,3,5,3,0
away ,defensive transition,pass missed,3,1,2,0
away ,defensive transition,pass missed,3,2,2,0
away ,defensive transition,pass missed,3,3,2,0
away ,defensive transition,pass missed,3,4,2,0
away ,defensive transition,pass missed,3,5,2,0
away ,defensive transition,pass missed,3,1,1,0
away ,defensive transition,pass missed,3,2,1,0
away ,defensive transition,pass missed,3,3,1,0
away ,defensive transition,pass missed,3,4,1,0
away ,defensive transition,pass missed,3,5,1,0
away ,defensive transition,pass missed,4,1,4,0
away ,defensive transition,pass missed,4,2,4,0
away ,defensive transition,pass missed,4,3,4,0
away ,defensive transition,pass missed,4,4,4,0
away ,defensive transition,pass missed,4,5,4,0
away ,defensive transition,pass missed,4,1,3,0
away ,defensive transition,pass missed,4,2,3,0
away ,defensive transition,pass missed,4,3,3,1
away ,defensive transition,pass missed,4,4,3,0
away ,defensive transition,pass missed,4,5,3,2
away ,defensive transition,pass missed,4,1,2,0
away ,defensive transition,pass missed,4,2,2,1
away ,defensive transition,pass missed,4,3,2,0
away ,defensive transition,pass missed,4,4,2,0
away ,defensive transition,pass missed,4,5,2,2
away ,defensive transition,pass missed,4,1,1,0
away ,defensive transition,pass missed,4,2,1,0
away ,defensive transition,pass missed,4,3,1,0
away ,defensive transition,pass missed,4,4,1,1
away ,defensive transition,pass missed,4,5,1,0
away ,defensive transition,pass intercepted/fouled,1,1,4,0
away ,defensive transition,pass intercepted/fouled,1,2,4,0
away ,defensive transition,pass intercepted/fouled,1,3,4,0
away ,defensive transition,pass intercepted/fouled,1,4,4,0
away ,defensive transition,pass intercepted/fouled,1,5,4,0
away ,defensive transition,pass intercepted/fouled,1,1,3,0
away ,defensive transition,pass intercepted/fouled,1,2,3,1
away ,defensive transition,pass intercepted/fouled,1,3,3,0
away ,defensive transition,pass intercepted/fouled,1,4,3,0
away ,defensive transition,pass intercepted/fouled,1,5,3,0
away ,defensive transition,pass intercepted/fouled,1,1,2,0
away ,defensive transition,pass intercepted/fouled,1,2,2,1
away ,defensive transition,pass intercepted/fouled,1,3,2,0
away ,defensive transition,pass intercepted/fouled,1,4,2,0
away ,defensive transition,pass intercepted/fouled,1,5,2,0
away ,defensive transition,pass intercepted/fouled,1,1,1,1
away ,defensive transition,pass intercepted/fouled,1,2,1,3
away ,defensive transition,pass intercepted/fouled,1,3,1,0
away ,defensive transition,pass intercepted/fouled,1,4,1,2
away ,defensive transition,pass intercepted/fouled,1,5,1,0
away ,defensive transition,pass intercepted/fouled,2,1,4,0
away ,defensive transition,pass intercepted/fouled,2,2,4,0
away ,defensive transition,pass intercepted/fouled,2,3,4,0
away ,defensive transition,pass intercepted/fouled,2,4,4,0
away ,defensive transition,pass intercepted/fouled,2,5,4,1
away ,defensive transition,pass intercepted/fouled,2,1,3,1
away ,defensive transition,pass intercepted/fouled,2,2,3,0
away ,defensive transition,pass intercepted/fouled,2,3,3,1
away ,defensive transition,pass intercepted/fouled,2,4,3,2
away ,defensive transition,pass intercepted/fouled,2,5,3,0
away ,defensive transition,pass intercepted/fouled,2,1,2,0
away ,defensive transition,pass intercepted/fouled,2,2,2,0
away ,defensive transition,pass intercepted/fouled,2,3,2,0
away ,defensive transition,pass intercepted/fouled,2,4,2,0
away ,defensive transition,pass intercepted/fouled,2,5,2,0
away ,defensive transition,pass intercepted/fouled,2,1,1,0
away ,defensive transition,pass intercepted/fouled,2,2,1,2
away ,defensive transition,pass intercepted/fouled,2,3,1,3
away ,defensive transition,pass intercepted/fouled,2,4,1,2
away ,defensive transition,pass intercepted/fouled,2,5,1,0
away ,defensive transition,pass intercepted/fouled,3,1,4,0
away ,defensive transition,pass intercepted/fouled,3,2,4,0
away ,defensive transition,pass intercepted/fouled,3,3,4,1
away ,defensive transition,pass intercepted/fouled,3,4,4,1
away ,defensive transition,pass intercepted/fouled,3,5,4,0
away ,defensive transition,pass intercepted/fouled,3,1,3,2
away ,defensive transition,pass intercepted/fouled,3,2,3,0
away ,defensive transition,pass intercepted/fouled,3,3,3,0
away ,defensive transition,pass intercepted/fouled,3,4,3,0
away ,defensive transition,pass intercepted/fouled,3,5,3,1
away ,defensive transition,pass intercepted/fouled,3,1,2,0
away ,defensive transition,pass intercepted/fouled,3,2,2,0
away ,defensive transition,pass intercepted/fouled,3,3,2,0
away ,defensive transition,pass intercepted/fouled,3,4,2,0
away ,defensive transition,pass intercepted/fouled,3,5,2,2
away ,defensive transition,pass intercepted/fouled,3,1,1,0
away ,defensive transition,pass intercepted/fouled,3,2,1,0
away ,defensive transition,pass intercepted/fouled,3,3,1,0
away ,defensive transition,pass intercepted/fouled,3,4,1,0
away ,defensive transition,pass intercepted/fouled,3,5,1,0
away ,defensive transition,pass intercepted/fouled,4,1,4,0
away ,defensive transition,pass intercepted/fouled,4,2,4,1
away ,defensive transition,pass intercepted/fouled,4,3,4,0
away ,defensive transition,pass intercepted/fouled,4,4,4,0
away ,defensive transition,pass intercepted/fouled,4,5,4,0
away ,defensive transition,pass intercepted/fouled,4,1,3,0
away ,defensive transition,pass intercepted/fouled,4,2,3,0
away ,defensive transition,pass intercepted/fouled,4,3,3,0
away ,defensive transition,pass intercepted/fouled,4,4,3,1
away ,defensive transition,pass intercepted/fouled,4,5,3,0
away ,defensive transition,pass intercepted/fouled,4,1,2,0
away ,defensive transition,pass intercepted/fouled,4,2,2,1
away ,defensive transition,pass intercepted/fouled,4,3,2,0
away ,defensive transition,pass intercepted/fouled,4,4,2,0
away ,defensive transition,pass intercepted/fouled,4,5,2,2
away ,defensive transition,pass intercepted/fouled,4,1,1,0
away ,defensive transition,pass intercepted/fouled,4,2,1,0
away ,defensive transition,pass intercepted/fouled,4,3,1,0
away ,defensive transition,pass intercepted/fouled,4,4,1,0
away ,defensive transition,pass intercepted/fouled,4,5,1,0
