Team,Phase of Play,Action,Quarter,x,y,Count
home,defensive transition,pass intercepted/fouled,1,1,3,1
home,defensive transition,pass intercepted/fouled,1,2,3,1
home,defensive transition,pass intercepted/fouled,1,3,3,0
home,defensive transition,pass intercepted/fouled,1,4,3,2
home,defensive transition,pass intercepted/fouled,1,5,3,1
home,defensive transition,pass intercepted/fouled,1,1,2,0
home,defensive transition,pass intercepted/fouled,1,2,2,0
home,defensive transition,pass intercepted/fouled,1,3,2,0
home,defensive transition,pass intercepted/fouled,1,4,2,0
home,defensive transition,pass intercepted/fouled,1,5,2,1
home,defensive transition,pass intercepted/fouled,1,1,1,0
home,defensive transition,pass intercepted/fouled,1,2,1,1
home,defensive transition,pass intercepted/fouled,1,3,1,0
home,defensive transition,pass intercepted/fouled,1,4,1,0
home,defensive transition,pass intercepted/fouled,1,5,1,0
home,defensive transition,pass intercepted/fouled,2,1,4,0
home,defensive transition,pass intercepted/fouled,2,2,4,0
home,defensive transition,pass intercepted/fouled,2,3,4,2
home,defensive transition,pass intercepted/fouled,2,4,4,0
home,defensive transition,pass intercepted/fouled,2,5,4,1
home,defensive transition,pass intercepted/fouled,2,1,3,1
home,defensive transition,pass intercepted/fouled,2,2,3,1
home,defensive transition,pass intercepted/fouled,2,3,3,1
home,defensive transition,pass intercepted/fouled,2,4,3,0
home,defensive transition,pass intercepted/fouled,2,5,3,1
home,defensive transition,pass intercepted/fouled,2,1,2,1
home,defensive transition,pass intercepted/fouled,2,2,2,0
home,defensive transition,pass intercepted/fouled,2,3,2,0
home,defensive transition,pass intercepted/fouled,2,4,2,0
home,defensive transition,pass intercepted/fouled,2,5,2,1
home,defensive transition,pass intercepted/fouled,2,1,1,0
home,defensive transition,pass intercepted/fouled,2,2,1,0
home,defensive transition,pass intercepted/fouled,2,3,1,0
home,defensive transition,pass intercepted/fouled,2,4,1,1
home,defensive transition,pass intercepted/fouled,2,5,1,0
home,defensive transition,pass intercepted/fouled,3,1,4,0
home,defensive transition,pass intercepted/fouled,3,2,4,0
home,defensive transition,pass intercepted/fouled,3,3,4,0
home,defensive transition,pass intercepted/fouled,3,4,4,0
home,defensive transition,pass intercepted/fouled,3,5,4,0
home,defensive transition,pass intercepted/fouled,3,1,3,0
home,defensive transition,pass intercepted/fouled,3,2,3,1
home,defensive transition,pass intercepted/fouled,3,3,3,0
home,defensive transition,pass intercepted/fouled,3,4,3,0
home,defensive transition,pass intercepted/fouled,3,5,3,0
home,defensive transition,pass intercepted/fouled,3,1,2,0
home,defensive transition,pass intercepted/fouled,3,2,2,1
home,defensive transition,pass intercepted/fouled,3,3,2,2
home,defensive transition,pass intercepted/fouled,3,4,2,0
home,defensive transition,pass intercepted/fouled,3,5,2,0
home,defensive transition,pass intercepted/fouled,3,1,1,1
home,defensive transition,pass intercepted/fouled,3,2,1,1
home,defensive transition,pass intercepted/fouled,3,3,1,1
home,defensive transition,pass intercepted/fouled,3,4,1,1
home,defensive transition,pass intercepted/fouled,3,5,1,1
home,defensive transition,pass intercepted/fouled,4,1,4,0
home,defensive transition,pass intercepted/fouled,4,2,4,0
home,defensive transition,pass intercepted/fouled,4,3,4,0
home,defensive transition,pass intercepted/fouled,4,4,4,0
home,defensive transition,pass intercepted/fouled,4,5,4,0
home,defensive transition,pass intercepted/fouled,4,1,3,0
home,defensive transition,pass intercepted/fouled,4,2,3,0
home,defensive transition,pass intercepted/fouled,4,3,3,0
home,defensive transition,pass intercepted/fouled,4,4,3,0
home,defensive transition,pass intercepted/fouled,4,5,3,0
home,defensive transition,pass intercepted/fouled,4,1,2,0
home,defensive transition,pass intercepted/fouled,4,2,2,0
home,defensive transition,pass intercepted/fouled,4,3,2,0
home,defensive transition,pass intercepted/fouled,4,4,2,0
home,defensive transition,pass intercepted/fouled,4,5,2,0
home,defensive transition,pass intercepted/fouled,4,1,1,0
home,defensive transition,pass intercepted/fouled,4,2,1,0
home,defensive transition,pass intercepted/fouled,4,3,1,2
home,defensive transition,pass intercepted/fouled,4,4,1,0
home,defensive transition,pass intercepted/fouled,4,5,1,0
